"Reduce exposure
of the poor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Belarus,22.459605997314334,70.77271573687028,22 (3.8%),71 (7.7%)
Canada,16.133817426138638,69.58256209214734,16 (1.1%),70 (3.4%)
Syrian Arab Republic,13.120534487808108,65.74564806036604,13 (2.8%),66 (9.3%)
Bolivia,3.9420576303664445,61.71944920482957,3.9 (1.2%),62 (9.6%)
Tanzania,9.219148648863614,55.94544592716938,9.2 (2.8%),56 (10%)
Jamaica,6.823321330344617,55.92648288772225,6.8 (2%),56 (9.3%)
United Kingdom,13.038483463176965,50.81351191991639,13 (0.92%),51 (2.6%)
Angola,5.2108897015419,49.709723916596886,5.2 (2.2%),50 (6.5%)
Czech Republic,20.34402903944516,47.762213942878724,20 (4%),48 (7%)
Tajikistan,11.500904036441266,47.34541541630625,12 (4.7%),47 (11%)
Kenya,4.189662461839736,44.15008920585269,4.2 (1.6%),44 (7.8%)
Spain,10.745005778220175,43.13368751188731,11 (1.2%),43 (3.8%)
"Yemen, Rep.",9.226041424520849,43.083743960524316,9.2 (1.9%),43 (6.8%)
Gabon,5.939994030768483,42.3141246998201,5.9 (2.9%),42 (8.7%)
Niger,10.021812441772193,42.06159516041253,10 (11%),42 (25%)
Slovak Republic,13.891139392299115,41.626889185018655,14 (3%),42 (6.6%)
Albania,10.525434449772298,40.15339826637667,11 (3.7%),40 (9.7%)
Costa Rica,3.8286988246113953,40.03494892719519,3.8 (1.5%),40 (8%)
Latvia,7.12012536289364,39.75772038201272,7.1 (2.5%),40 (9.1%)
Mali,6.207703438993752,38.723391910404786,6.2 (10%),39 (25%)
Netherlands,14.178155550171255,38.61450121463537,14 (2.1%),39 (4.4%)
Sudan,4.18183242243731,38.30076702528983,4.2 (2%),38 (9.3%)
Sri Lanka,6.884192117900967,35.125157173656284,6.9 (2%),35 (7%)
Croatia,9.745322579596222,34.61815855581426,9.7 (2%),35 (5.2%)
"Congo, Rep.",4.142278248497635,34.393539200236226,4.1 (2.8%),34 (12%)
Cameroon,4.739123958180815,33.92681874619192,4.7 (2.9%),34 (9.7%)
Bosnia and Herzegovina,5.700681023513049,31.06586661743283,5.7 (2.6%),31 (8.8%)
Mauritania,4.334667768452488,30.438647833267687,4.3 (6.9%),30 (17%)
Hungary,14.077492325079202,30.37459777239227,14 (0.68%),30 (1.2%)
Israel,2.8911172174577118,29.501599578352568,2.9 (0.93%),30 (5.8%)
Panama,1.4815839218994677,26.20059197756588,1.5 (0.93%),26 (8.1%)
Zambia,1.628743120301783,24.25908703520593,1.6 (1.5%),24 (8.8%)
Malawi,2.6058169197687953,22.82678860280183,2.6 (2.1%),23 (11%)
Kyrgyz Republic,5.712559612007826,21.76155150947234,5.7 (3.9%),22 (8.1%)
Mongolia,4.6563188456111995,21.292836640868753,4.7 (4.5%),21 (12%)
Slovenia,8.839302095692634,21.038554352508843,8.8 (2.8%),21 (5.1%)
Paraguay,1.8243657083494662,20.374202415796784,1.8 (1.8%),20 (10%)
Ghana,2.153847836290538,18.693364293558716,2.2 (1.2%),19 (6.4%)
Bulgaria,4.289274670722634,18.33861247856283,4.3 (1.6%),18 (4.8%)
Belgium,6.2518966458951235,18.272778923388362,6.3 (2.1%),18 (4.7%)
Jordan,3.941134416667402,15.880137940303534,3.9 (2.4%),16 (7.2%)
Uganda,1.750604031495139,14.110537052561224,1.8 (1.7%),14 (6.5%)
Moldova,3.982901812440544,13.410170576271385,4 (2.7%),13 (6.9%)
Estonia,3.1871679662607906,13.210047422142326,3.2 (4.1%),13 (10%)
Botswana,0.5605630554652363,12.051933172275245,0.56 (0.63%),12 (7.9%)
Chad,0.8671925172006115,12.021649344345345,0.87 (1.4%),12 (9.1%)
Armenia,3.006082027886152,11.062915775072634,3 (1.8%),11 (4.8%)
Azerbaijan,2.6326350808606147,11.050533581472038,2.6 (0.64%),11 (1.6%)
"Macedonia, FYR",1.5941577337805777,10.433012458016767,1.6 (1.9%),10 (7.8%)
Rwanda,0.7346100251888409,9.071229595801308,0.73 (1.2%),9.1 (8.9%)
Lesotho,0.3888170618591234,8.945435541446566,0.39 (0.78%),8.9 (11%)
Swaziland,0.7303378769988268,8.54838609928602,0.73 (1.7%),8.5 (11%)
Lithuania,1.8651972892633377,8.237878237917185,1.9 (0.92%),8.2 (2.9%)
Guinea,1.3268929152708724,7.333836768898472,1.3 (2.1%),7.3 (7.3%)
Benin,0.8957770189305841,6.597587427153095,0.9 (1.9%),6.6 (7%)
Uruguay,0.84794370809488,6.2703849311909075,0.85 (2.2%),6.3 (9.4%)
Sierra Leone,0.9980234879434258,5.588348199448197,1 (2.1%),5.6 (7.5%)
Senegal,0.876557477402605,5.398018180150807,0.88 (1.7%),5.4 (7.8%)
Burundi,0.9565738145455941,4.375570017320931,0.96 (3.3%),4.4 (9%)
Ireland,1.417533595919311,4.365093162379503,1.4 (0.94%),4.4 (2.1%)
Burkina Faso,0.8039865075238197,4.036956892290965,0.8 (1.3%),4 (4.4%)
Togo,0.3328863898323364,3.970153813764855,0.33 (1.1%),4 (8%)
Central African Republic,0.15258466860837488,2.940402590391431,0.15 (1%),2.9 (10%)
Sweden,0.8909051826931387,2.2673560714396013,0.89 (2.3%),2.3 (4.3%)
Georgia,0.40487320487755535,1.810063520155549,0.4 (0.14%),1.8 (0.42%)
Liberia,0.2080108988538757,1.567861185811188,0.21 (1.8%),1.6 (8.2%)
Montenegro,0.36537391989886386,1.5101522614095062,0.37 (1.8%),1.5 (4.9%)
Djibouti,0.15341260671375317,1.0956624473390542,0.15 (2.4%),1.1 (10%)
Denmark,0.17898152405675685,0.4119414586332515,0.18 (1.4%),0.41 (2.7%)
