Make social protection scalable after a shock,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Moldova,2.980232238769531e-14,0.6663713862769007,0 (0%),0.67 (0.34%)
Lesotho,-7.450580596923828e-15,0.5815107331930399,0 (0%),0.58 (0.7%)
Sudan,2.980232238769531e-14,0.5215755875928402,0 (0%),0.52 (0.13%)
Niger,0.0,0.47666079088217017,0 (0%),0.48 (0.28%)
Togo,0.0,0.45526744568497685,0 (0%),0.46 (0.91%)
Georgia,5.960464477539062e-14,0.3629415996854901,0 (0%),0.36 (0.08%)
Senegal,0.0,0.355673797696352,0 (0%),0.36 (0.52%)
Sweden,0.0,0.2868386287595853,0 (0%),0.29 (0.55%)
Mali,0.0,0.22877130915543437,0 (0%),0.23 (0.15%)
Sierra Leone,7.450580596923828e-15,0.21662709548918901,0 (0%),0.22 (0.29%)
Montenegro,0.0,0.1545925544482283,0 (0%),0.15 (0.5%)
Burundi,0.0,0.14747456558820604,0 (0%),0.15 (0.3%)
Rwanda,0.0,0.1271433813972771,0 (0%),0.13 (0.13%)
Burkina Faso,-7.450580596923828e-15,0.07504388511449098,0 (0%),0.08 (0.08%)
Denmark,0.0,0.07410401103087327,0 (0%),0.07 (0.48%)
Djibouti,-9.313225746154785e-16,0.0604484589549005,0 (0%),0.06 (0.56%)
Chad,0.0,1.4901161193847656e-14,0 (0%),0 (0%)
Uzbekistan,1.1920928955078124e-13,0.0,0 (0%),0 (0%)
Liberia,0.0,0.0,0 (0%),0 (0%)
Central African Republic,0.0,0.0,0 (0%),0 (0%)
