"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Romania,24.131221137359617,28.44539678598213,24 (1.6%),28 (1.4%)
El Salvador,21.98223387096095,24.502783649600268,22 (1.7%),25 (1.2%)
Serbia,21.051902449630497,24.11623223296547,21 (1.6%),24 (1.3%)
Honduras,18.04922935480976,22.299936555755615,18 (1.8%),22 (1%)
Madagascar,18.80612053952479,21.16449841075611,19 (1.7%),21 (1.2%)
Lao PDR,18.938164110885857,19.874737799422977,19 (1.7%),20 (1.3%)
Kazakhstan,15.2674432077291,18.36638312813258,15 (1.5%),18 (1.1%)
Spain,15.8543036661942,17.333589194426775,16 (1.8%),17 (1.5%)
"Egypt, Arab Rep.",11.920570382773757,15.852341174381733,12 (1.6%),16 (1.2%)
Austria,13.944295705796122,15.799085899777412,14 (1.6%),16 (1.3%)
Cambodia,12.767747150237321,15.37796321975565,13 (1.5%),15 (0.96%)
Guatemala,11.134737216932177,15.042426452279567,11 (1.5%),15 (0.51%)
Poland,11.554339801832914,14.965196235237597,12 (1.5%),15 (1.2%)
Netherlands,11.766712025802136,13.393954505290747,12 (1.7%),13 (1.5%)
Azerbaijan,7.554688679224074,11.871439493997215,7.6 (1.8%),12 (1.8%)
Belarus,9.223720028750181,11.653045301913261,9.2 (1.6%),12 (1.3%)
Morocco,10.404100333823322,11.424816025695085,10 (1.5%),11 (0.87%)
Nepal,9.399265457906722,10.335324673336864,9.4 (1.5%),10 (1%)
Croatia,8.494093600031436,10.202171116357206,8.5 (1.7%),10 (1.5%)
Slovak Republic,7.764361693237424,9.25376231103313,7.8 (1.7%),9.3 (1.5%)
Uzbekistan,5.901387429440498,9.075399285281778,5.9 (1.6%),9.1 (1.1%)
"Yemen, Rep.",8.372700842046141,9.07424517827487,8.4 (1.7%),9.1 (1.4%)
Czech Republic,7.998024946253538,8.955918566477298,8 (1.6%),9 (1.3%)
Syrian Arab Republic,7.755298950081229,8.86631818277967,7.8 (1.7%),8.9 (1.3%)
"Congo, Dem. Rep.",7.543236102682888,8.833227459712505,7.5 (1.7%),8.8 (0.99%)
Georgia,5.5256229987784025,8.053033346752464,5.5 (1.9%),8.1 (1.9%)
Israel,5.625821911256432,7.614410793999672,5.6 (1.8%),7.6 (1.5%)
Sri Lanka,6.149990935637355,7.539839059834837,6.1 (1.7%),7.5 (1.5%)
Bolivia,5.611680594274759,7.29711665560019,5.6 (1.8%),7.3 (1.1%)
Jamaica,5.856569050751328,7.210318543100595,5.9 (1.7%),7.2 (1.2%)
Tanzania,5.499497669323861,6.620518106072425,5.5 (1.7%),6.6 (1.2%)
Costa Rica,4.504328129014342,6.282259452389061,4.5 (1.8%),6.3 (1.3%)
Slovenia,5.326900386492849,6.279938365295231,5.3 (1.7%),6.3 (1.5%)
Belgium,5.137083612863064,5.982178562994003,5.1 (1.7%),6 (1.5%)
Bulgaria,4.634210234580993,5.946215875448048,4.6 (1.8%),5.9 (1.5%)
Sudan,3.6544451452609894,5.803592653185129,3.7 (1.8%),5.8 (1.4%)
Latvia,4.856390461739301,5.741956912390887,4.9 (1.7%),5.7 (1.3%)
Kenya,4.4561156912382245,5.511995330905318,4.5 (1.7%),5.5 (0.97%)
Albania,4.575652496889293,5.127256865166366,4.6 (1.6%),5.1 (1.2%)
Lithuania,3.640077922328323,4.797785670352339,3.6 (1.8%),4.8 (1.7%)
Tajikistan,3.7284770198873876,4.573549561894477,3.7 (1.5%),4.6 (1%)
Bosnia and Herzegovina,3.734873899581164,4.51132639608097,3.7 (1.7%),4.5 (1.3%)
Angola,3.4123892639684974,4.349755202127099,3.4 (1.4%),4.3 (0.57%)
Ghana,3.165602920787722,4.055600103910982,3.2 (1.8%),4.1 (1.4%)
Panama,2.847570695377618,3.7518039299620387,2.8 (1.8%),3.8 (1.2%)
Gabon,3.097229018063903,3.595335001405239,3.1 (1.5%),3.6 (0.74%)
Armenia,2.8316909604934453,3.5570706616513132,2.8 (1.7%),3.6 (1.5%)
Ireland,2.7212500545609295,3.4896540227992534,2.7 (1.8%),3.5 (1.7%)
Kyrgyz Republic,2.3388291278797984,3.374601183174789,2.3 (1.6%),3.4 (1.3%)
Jordan,2.7424325329162476,3.250756694049209,2.7 (1.7%),3.3 (1.5%)
Cameroon,2.5746242123911975,3.0818948308212755,2.6 (1.6%),3.1 (0.88%)
Moldova,2.4823828462436794,2.9176913939736484,2.5 (1.7%),2.9 (1.5%)
"Congo, Rep.",2.4790181983945367,2.8796799483698603,2.5 (1.7%),2.9 (0.97%)
Uganda,1.806256686434537,2.6639188734695014,1.8 (1.7%),2.7 (1.2%)
Malawi,2.1387024466912,2.3206963255839943,2.1 (1.7%),2.3 (1.1%)
Zambia,1.8536566304514408,2.226932254886031,1.9 (1.7%),2.2 (0.81%)
Paraguay,1.7687927059847264,2.0705612471948562,1.8 (1.7%),2.1 (1%)
Botswana,1.623479801554486,2.0533111278682945,1.6 (1.8%),2.1 (1.3%)
"Macedonia, FYR",1.4268179358408153,1.7199054970424026,1.4 (1.7%),1.7 (1.3%)
Mongolia,1.5673787673313915,1.6483297381746471,1.6 (1.5%),1.6 (0.92%)
Chad,1.114071662651211,1.6044016641389875,1.1 (1.8%),1.6 (1.2%)
Rwanda,1.1087402656462415,1.598759632442817,1.1 (1.8%),1.6 (1.6%)
Burkina Faso,1.1588361207778752,1.5473449132886379,1.2 (1.8%),1.5 (1.7%)
Estonia,1.202931237415716,1.4040405266374647,1.2 (1.6%),1.4 (1.1%)
Guinea,1.0654298044643105,1.3128825095418095,1.1 (1.7%),1.3 (1.3%)
Niger,1.2416480754539667,1.252189860198468,1.2 (1.4%),1.3 (0.74%)
Mali,0.8823254154748916,1.137347526380062,0.88 (1.4%),1.1 (0.73%)
Senegal,0.9352089435991123,1.0627079817785918,0.94 (1.8%),1.1 (1.5%)
Lesotho,0.9072869010624811,1.0563352197526246,0.91 (1.8%),1.1 (1.3%)
Sierra Leone,0.8381687366771251,1.0554889376385213,0.84 (1.7%),1.1 (1.4%)
Benin,0.7602902635931075,0.9214469083989412,0.76 (1.6%),0.92 (0.98%)
Mauritania,0.8310147555088923,0.8097257743210792,0.83 (1.3%),0.81 (0.46%)
Swaziland,0.7667773425370902,0.8029462840432972,0.77 (1.7%),0.8 (1%)
Sweden,0.649372134800367,0.7979034919511601,0.65 (1.7%),0.8 (1.5%)
Uruguay,0.6619241295186579,0.7458655085464417,0.66 (1.7%),0.75 (1.1%)
Togo,0.526450474397745,0.6784207805147097,0.53 (1.8%),0.68 (1.4%)
Burundi,0.46267708100076765,0.5936255916539653,0.46 (1.6%),0.59 (1.2%)
Montenegro,0.35391790815912183,0.46914249931351837,0.35 (1.7%),0.47 (1.5%)
Central African Republic,0.2658199028640557,0.3064757681534849,0.27 (1.8%),0.31 (1.1%)
Liberia,0.1994651541948989,0.25581329440874234,0.2 (1.7%),0.26 (1.3%)
Denmark,0.21809187827014176,0.2551930285801049,0.22 (1.8%),0.26 (1.7%)
Djibouti,0.10753131336869112,0.12313886483523621,0.11 (1.7%),0.12 (1.1%)
