Asset losses package (excluding early warnings),Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Austria,99.39335087708425,172.70027219314454,99 (11%),170 (14%)
Nepal,73.96102922699845,165.91070378581355,74 (12%),170 (17%)
Uzbekistan,42.909605036081196,150.95860825593493,43 (11%),150 (18%)
"Congo, Dem. Rep.",46.77633695596695,145.56612798349298,47 (10%),150 (16%)
Belarus,65.97072010709572,136.87524458086858,66 (11%),140 (15%)
Spain,79.4531955708797,127.89416583185219,79 (8.9%),130 (11%)
Syrian Arab Republic,47.96229864529604,117.55556423665821,48 (10%),120 (17%)
Angola,31.573204073643744,117.47089293408,32 (13%),120 (15%)
Bolivia,28.08548358558166,107.37157884253179,28 (8.9%),110 (17%)
Netherlands,66.48213832867026,104.74333778032016,66 (9.7%),100 (12%)
Jamaica,32.53584723435533,99.03894412991106,33 (9.6%),99 (16%)
Czech Republic,58.43094731189978,98.13634747712146,58 (11%),98 (14%)
Tanzania,33.497317810854014,94.8981772413249,33 (10%),95 (17%)
"Yemen, Rep.",45.90311425540358,89.51741810904157,46 (9.5%),90 (14%)
Kenya,26.4671184847351,89.19274186181634,26 (10%),89 (16%)
Slovak Republic,47.259219516230644,86.14545807634163,47 (10%),86 (14%)
Croatia,47.146254700033126,84.64551120356928,47 (9.6%),85 (13%)
Gabon,23.35453277767953,80.6383314735831,23 (11%),81 (17%)
Tajikistan,29.495644919322668,77.52574615809851,29 (12%),78 (18%)
Costa Rica,23.190745448381662,76.20422546653961,23 (9.1%),76 (15%)
Sri Lanka,32.869627204869566,71.19712169740528,33 (9.3%),71 (14%)
Albania,31.51070487005332,70.09276757525681,32 (11%),70 (17%)
Latvia,27.74900629728794,69.68996128019423,28 (9.8%),70 (16%)
Israel,26.65203539551282,66.62530157835263,27 (8.6%),67 (13%)
Sudan,19.167188740146635,66.59710458749329,19 (9.2%),67 (16%)
Azerbaijan,34.30519576487428,62.117129279396295,34 (8.3%),62 (9.2%)
Cameroon,17.682455067985355,59.9824688782584,18 (11%),60 (17%)
Bosnia and Herzegovina,22.385065449206202,56.64199900029915,22 (10%),57 (16%)
"Congo, Rep.",15.520737665700256,55.400803265307154,16 (10%),55 (19%)
Niger,15.861226482159108,52.06108965038588,16 (17%),52 (31%)
Slovenia,32.794883560942054,52.012706302647885,33 (10%),52 (13%)
Panama,14.173426670868963,50.66456865930992,14 (8.9%),51 (16%)
Mali,10.258540471249804,47.532787724392456,10 (16%),48 (31%)
Belgium,28.92686343841624,47.04179325845015,29 (9.7%),47 (12%)
Bulgaria,24.040666115873456,46.55690872418451,24 (9.1%),47 (12%)
Zambia,10.884605922586381,45.95211586066386,11 (10%),46 (17%)
Mauritania,8.883369097340978,42.50777106746897,8.9 (14%),43 (24%)
Ghana,16.127381510931162,40.89967372885668,16 (9%),41 (14%)
Kyrgyz Republic,16.609029624190658,40.7908887477341,17 (11%),41 (15%)
Malawi,11.99399108385311,37.971934228346015,12 (9.6%),38 (18%)
Georgia,23.223877707504688,35.27413370532328,23 (7.8%),35 (8.1%)
Paraguay,9.661534465886861,34.88439806661356,9.7 (9.5%),35 (17%)
Mongolia,12.333454938601106,33.91969129744357,12 (12%),34 (19%)
Jordan,16.102030230431644,32.5303483155567,16 (9.9%),33 (15%)
Uganda,10.273541057418704,30.70619194558701,10 (9.7%),31 (14%)
Lithuania,17.52157876999435,30.101155658609002,18 (8.7%),30 (10%)
Armenia,15.30369306607753,28.035578078886864,15 (9.4%),28 (12%)
Moldova,14.494771579520583,27.169259290483264,14 (10%),27 (14%)
Botswana,7.423823050700947,23.37134321147491,7.4 (8.3%),23 (15%)
Estonia,8.914853081392616,22.200105304530233,8.9 (12%),22 (17%)
Chad,5.732986666786678,21.63019681205423,5.7 (9.1%),22 (16%)
"Macedonia, FYR",7.831697843274012,19.995861483104854,7.8 (9.5%),20 (15%)
Ireland,13.112534310604364,19.911469595226883,13 (8.7%),20 (9.8%)
Rwanda,5.028112008944504,15.86770765855445,5 (8.3%),16 (16%)
Lesotho,4.154932081216492,15.021760717115162,4.2 (8.3%),15 (18%)
Guinea,6.255623354608975,14.944343028688907,6.3 (9.9%),15 (15%)
Benin,5.063240227315612,14.41221634261261,5.1 (11%),14 (15%)
Swaziland,4.099189606729805,14.192780814982406,4.1 (9.3%),14 (18%)
Uruguay,3.8220833479535803,11.140680482392117,3.8 (9.8%),11 (17%)
Sierra Leone,4.657866317084417,11.066167625748507,4.7 (9.6%),11 (15%)
Burkina Faso,5.420981105538688,10.49605358799684,5.4 (8.5%),10 (11%)
Senegal,4.691886156864144,10.299338857227779,4.7 (8.9%),10 (15%)
Burundi,3.093098543626126,7.87303082859344,3.1 (11%),7.9 (16%)
Togo,2.61709280186956,7.690494846756786,2.6 (8.9%),7.7 (15%)
Sweden,3.823399531121507,6.215737307965025,3.8 (9.9%),6.2 (12%)
Central African Republic,1.322873776428135,5.05932536842737,1.3 (8.9%),5.1 (18%)
Montenegro,1.9431835508964284,3.8299070755150244,1.9 (9.5%),3.8 (12%)
Liberia,1.074758369939871,2.951443055022398,1.1 (9.4%),3 (16%)
Djibouti,0.6302550935129309,1.8609207067286408,0.63 (9.9%),1.9 (17%)
Denmark,1.1338182827916332,1.5855836020439826,1.1 (9.1%),1.6 (10%)
