Resilience Package + Early Warning Package,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Nigeria,50.762860022529956,592.0186849047406,51 (4.6%),590 (26%)
France,9.5367431640625e-13,579.5858135459165,0 (0%),580 (9.6%)
Madagascar,144.58123194061494,566.838498838576,140 (13%),570 (32%)
Honduras,19.199087292763114,495.5482830643177,19 (1.9%),500 (23%)
South Africa,74.69526404826068,492.7818451031012,75 (4.7%),490 (17%)
Germany,69.01651679743529,458.02727079226395,69 (2%),460 (10%)
Angola,46.001505647370216,441.3960064356129,46 (19%),440 (57%)
Dominican Republic,40.99462343210458,411.3811474409232,41 (2.8%),410 (18%)
El Salvador,4.051857471304417,393.04731568267727,4.1 (0.32%),390 (20%)
Serbia,135.38983540631054,388.86048307172155,140 (11%),390 (22%)
"Congo, Dem. Rep.",54.92770064294111,367.52956059298634,55 (12%),370 (41%)
Lao PDR,98.63441396069658,344.0846464797115,99 (8.9%),340 (23%)
"Egypt, Arab Rep.",21.67435877308893,317.83258868109306,22 (2.9%),320 (24%)
Romania,42.485412493549106,305.0720531048303,42 (2.8%),310 (14%)
Canada,58.98476282254958,290.800019030894,59 (4.1%),290 (14%)
Nepal,65.75826242967081,282.45514499027206,66 (10%),280 (29%)
Morocco,15.593065674694419,281.20616025521264,16 (2.3%),280 (21%)
Australia,4.76837158203125e-13,272.4751377402363,0 (0%),270 (9.8%)
Kazakhstan,21.387325288620232,257.14550793931414,21 (2.1%),260 (16%)
Hungary,-2.384185791015625e-13,222.38282067766093,0 (0%),220 (8.5%)
Kenya,30.116436714475867,217.33587229103557,30 (11%),220 (38%)
Uzbekistan,16.639386939970613,206.88534661149464,17 (4.4%),210 (24%)
Gabon,33.93619153747404,204.01070847013867,34 (16%),200 (42%)
United Kingdom,0.0,182.36076476504206,0 (0%),180 (9.3%)
Poland,0.0,181.44470286332677,0 (0%),180 (15%)
Belarus,27.878778010889647,164.46343908986174,28 (4.8%),160 (18%)
Syrian Arab Republic,14.603924742547154,160.89331672189175,15 (3.1%),160 (23%)
Latvia,56.58865293400287,132.6756176920541,57 (20%),130 (30%)
Bolivia,11.979930675495742,132.48814076680202,12 (3.8%),130 (21%)
Tanzania,8.642679013367593,130.56740813225983,8.6 (2.6%),130 (24%)
"Yemen, Rep.",39.46705654081255,129.74636249994057,39 (8.1%),130 (20%)
Spain,37.99716395009625,128.8797558800162,38 (4.3%),130 (11%)
Jamaica,14.195027300001442,125.06347105447149,14 (4.2%),130 (21%)
"Congo, Rep.",29.835621484496578,120.40241692472901,30 (20%),120 (40%)
Austria,0.0,112.81534828083538,0 (0%),110 (9.3%)
Sudan,18.54633527496287,112.42064624628586,19 (8.9%),110 (27%)
Bosnia and Herzegovina,33.710750438792736,109.20916581589707,34 (15%),110 (31%)
Cameroon,6.936145950187087,108.08527520079922,6.9 (4.3%),110 (31%)
Azerbaijan,7.487318625429153,106.46071967942761,7.5 (1.8%),110 (16%)
Zambia,3.0044064544011353,93.87425047867697,3 (2.8%),94 (34%)
Sri Lanka,16.76917404006189,92.49575046319318,17 (4.8%),92 (19%)
Albania,21.295638243066072,92.49498194340765,21 (7.5%),92 (22%)
Slovak Republic,18.745864181026874,87.01661224751913,19 (4.1%),87 (14%)
Croatia,9.40833068934983,86.33722323778366,9.4 (1.9%),86 (13%)
Lithuania,40.443392061423005,84.81530732815592,40 (20%),85 (30%)
Tajikistan,8.17433443406686,81.73559314643114,8.2 (3.3%),82 (19%)
Mauritania,5.653628860231041,79.84707403154884,5.7 (9%),80 (45%)
Panama,1.2065209541254938,78.88124006826662,1.2 (0.76%),79 (24%)
Costa Rica,0.0,77.47209963917642,0 (0%),77 (15%)
Netherlands,0.0,73.5764210670886,0 (0%),74 (8.4%)
Israel,0.49732443109232183,72.12597055552816,0.5 (0.16%),72 (14%)
Czech Republic,-5.960464477539062e-14,67.21440692014741,0 (0%),67 (9.8%)
Belgium,20.531817310221374,63.33884379371071,21 (6.9%),63 (16%)
Mali,5.65492289846722,61.99282107277693,5.7 (9.1%),62 (40%)
Ghana,8.512254376636147,61.75732902539393,8.5 (4.8%),62 (21%)
Niger,8.243132095345496,60.64993728010751,8.2 (9.1%),61 (36%)
Malawi,4.892984674143373,55.9475865292595,4.9 (3.9%),56 (27%)
Ireland,28.105645756348476,54.7688903425202,28 (19%),55 (27%)
Chad,12.6347142633925,53.727702526350285,13 (20%),54 (40%)
Georgia,4.680563292087316,52.8876935766055,4.7 (1.6%),53 (12%)
Bulgaria,4.170133686420619,51.2872853805176,4.2 (1.6%),51 (13%)
Kyrgyz Republic,2.0210187242402133,51.11121538218975,2 (1.4%),51 (19%)
Paraguay,4.868486287154287,49.72511432289648,4.9 (4.8%),50 (25%)
Uganda,4.812830855717689,49.412963903069944,4.8 (4.6%),49 (23%)
Estonia,15.161232799530975,41.837716771265015,15 (20%),42 (32%)
Slovenia,0.0,39.66004515713751,0 (0%),40 (9.5%)
Mongolia,8.255719487085237,39.200274275421435,8.3 (8%),39 (22%)
Benin,6.070872058278374,38.553588259656394,6.1 (13%),39 (41%)
Moldova,12.734456549230977,35.83382954431233,13 (8.8%),36 (18%)
Armenia,5.630419899748742,34.17804793806141,5.6 (3.5%),34 (15%)
Jordan,0.2396407874699533,32.57494536783117,0.24 (0.15%),33 (15%)
Botswana,2.421419952106312,28.696850005337968,2.4 (2.7%),29 (19%)
Guinea,5.623353788935363,27.99826522922079,5.6 (8.9%),28 (28%)
Lesotho,3.524654333882369,22.4545103833779,3.5 (7.1%),22 (27%)
"Macedonia, FYR",1.0413215006087124,20.25913881888202,1 (1.3%),20 (15%)
Swaziland,2.0355568503594323,20.17550829468493,2 (4.6%),20 (26%)
Burkina Faso,5.823250484474458,17.838875891328318,5.8 (9.1%),18 (20%)
Uruguay,3.5432414719315246,17.575295896956845,3.5 (9.1%),18 (26%)
Togo,4.921616908105712,17.21022011428948,4.9 (17%),17 (34%)
Rwanda,1.8176333122705146,17.09834194079247,1.8 (3%),17 (17%)
Sierra Leone,2.2821651327644585,16.089389471530833,2.3 (4.7%),16 (22%)
Senegal,4.502564788392961,13.811599418730511,4.5 (8.6%),14 (20%)
Central African Republic,2.7887479061530547,11.885162296873638,2.8 (19%),12 (42%)
Burundi,1.0080565603043623,11.560680517189562,1 (3.5%),12 (24%)
Sweden,1.8329672667021826,7.5775525362908915,1.8 (4.8%),7.6 (14%)
Liberia,2.205641657311335,6.789687074751468,2.2 (19%),6.8 (36%)
Montenegro,1.39220478762405,6.241906782279744,1.4 (6.8%),6.2 (20%)
Denmark,0.5908028917504493,1.9019861546760368,0.59 (4.8%),1.9 (12%)
Djibouti,0.035203509631095455,1.8629565710301175,0.04 (0.55%),1.9 (17%)
