"Reduce
exposure of the nonpoor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Malawi,7.141847775086626,7.380875109320611,7.1 (5.7%),7.4 (3.5%)
Paraguay,6.020793457699999,7.268130711255222,6 (5.9%),7.3 (3.6%)
Botswana,5.477028639274284,6.475852921603233,5.5 (6.2%),6.5 (4.3%)
"Macedonia, FYR",4.769933668463557,5.738003202437982,4.8 (5.8%),5.7 (4.3%)
Mongolia,5.321347359199926,5.708621731762111,5.3 (5.1%),5.7 (3.2%)
Chad,3.792188510956801,5.148688941002324,3.8 (6%),5.1 (3.9%)
Estonia,4.046943782414719,4.687333181207344,4 (5.2%),4.7 (3.6%)
Burkina Faso,3.5932902969856038,4.658496340854079,3.6 (5.6%),4.7 (5.1%)
Rwanda,3.3398981912368684,4.579602064569145,3.3 (5.5%),4.6 (4.5%)
Guinea,3.738569248605005,4.267872073424935,3.7 (5.9%),4.3 (4.3%)
Niger,3.771140699936032,3.8241646971433756,3.8 (4.2%),3.8 (2.3%)
Benin,3.1991687127326727,3.6284459127905664,3.2 (6.8%),3.6 (3.9%)
Mali,2.679803843507655,3.471340446388751,2.7 (4.3%),3.5 (2.2%)
Sierra Leone,2.788523040131986,3.286156265302464,2.8 (5.7%),3.3 (4.4%)
Senegal,2.9443629577447323,3.097261236531168,2.9 (5.6%),3.1 (4.5%)
Lesotho,2.9803299437329396,3.0345135427327303,3 (6%),3 (3.7%)
Mauritania,2.827842677483119,2.9280272307493984,2.8 (4.5%),2.9 (1.7%)
Sweden,2.210397797090769,2.736867820421919,2.2 (5.7%),2.7 (5.2%)
Swaziland,2.5993700147862433,2.655151063912481,2.6 (5.9%),2.7 (3.4%)
Uruguay,2.253123531669624,2.5444456748555524,2.3 (5.8%),2.5 (3.8%)
Togo,1.795557981436435,2.0853092226915657,1.8 (6.1%),2.1 (4.2%)
Burundi,1.5547958153798729,1.9222087416995912,1.6 (5.4%),1.9 (4%)
Montenegro,1.2121527304826938,1.5542401006963327,1.2 (5.9%),1.6 (5%)
Central African Republic,0.925140304453291,0.9607698402935303,0.93 (6.2%),0.96 (3.4%)
Denmark,0.7423629402267131,0.8679927666510417,0.74 (6%),0.87 (5.7%)
Liberia,0.6654066384107694,0.797333698160179,0.67 (5.8%),0.8 (4.2%)
Djibouti,0.35889592622209154,0.3970836045065913,0.36 (5.7%),0.4 (3.7%)
