"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Ecuador,9.699854852285862,111.27719235550403,9.7 (0.3%),110 (2.3%)
Honduras,3.0282872854269742,82.49101188727403,3 (0.3%),82 (3.8%)
El Salvador,8.506308112261294,73.31429102979159,8.5 (0.66%),73 (3.7%)
Ukraine,23.196756938257217,69.20340976069784,23 (1%),69 (2.2%)
Cambodia,12.27172361917591,66.37059001667141,12 (1.5%),66 (4.1%)
Nigeria,4.475633023698568,60.74249375050068,4.5 (0.41%),61 (2.7%)
Madagascar,8.10747738550949,60.35008059481001,8.1 (0.73%),60 (3.4%)
Morocco,9.282998099515677,58.19273594425702,9.3 (1.4%),58 (4.4%)
Dominican Republic,5.743774726127386,55.89172210781717,5.7 (0.4%),56 (2.5%)
Kazakhstan,15.511797006075144,51.06088830786752,16 (1.5%),51 (3.1%)
Romania,16.15720333759284,47.832861101402756,16 (1.1%),48 (2.3%)
Serbia,11.882133509302854,45.95933405828404,12 (0.93%),46 (2.6%)
Germany,16.2498226544137,45.20770468122768,16 (0.48%),45 (1%)
Angola,4.32887655517754,44.75066696059477,4.3 (1.8%),45 (5.8%)
"Congo, Dem. Rep.",3.9629926261500117,41.19305390891325,4 (0.87%),41 (4.6%)
Lao PDR,7.824619335707903,40.27166441977835,7.8 (0.7%),40 (2.7%)
"Egypt, Arab Rep.",8.641515544897079,39.829008749225615,8.6 (1.2%),40 (3.1%)
Nepal,9.49627885138297,37.2658122663039,9.5 (1.5%),37 (3.8%)
Australia,7.4775439860229485,34.452002073115345,7.5 (0.37%),34 (1.2%)
Poland,10.352480413119077,34.20203954672217,10 (1.4%),34 (2.7%)
Austria,10.512651688780307,29.15410118482065,11 (1.2%),29 (2.4%)
Uzbekistan,4.61465286857295,28.703696673034905,4.6 (1.2%),29 (3.4%)
South Africa,0.9945124876451492,26.46363793499088,0.99 (0.06%),26 (0.93%)
Gabon,3.052117038085401,24.38731234445214,3.1 (1.5%),24 (5%)
Canada,5.170520412096262,24.13328465768051,5.2 (0.36%),24 (1.2%)
Belarus,7.014195252150774,23.488006456844566,7 (1.2%),23 (2.6%)
Kenya,1.9764414778427482,23.426231025096296,2 (0.75%),23 (4.1%)
Syrian Arab Republic,3.9505244404581785,22.725666436640857,4 (0.85%),23 (3.2%)
Bolivia,1.2266049950388669,20.69481567260468,1.2 (0.39%),21 (3.2%)
Jamaica,2.084932053543627,18.419810655479072,2.1 (0.61%),18 (3.1%)
Tanzania,2.6135152628448606,17.470834527565298,2.6 (0.8%),17 (3.2%)
United Kingdom,4.033093663185596,17.396743753973723,4 (0.28%),17 (0.89%)
Czech Republic,6.427708886991501,16.788211698881984,6.4 (1.3%),17 (2.5%)
Spain,3.463090646915078,15.277683309648275,3.5 (0.39%),15 (1.4%)
Cameroon,1.933284939224541,15.136764908598304,1.9 (1.2%),15 (4.3%)
Tajikistan,3.5007963707354066,15.036894988013445,3.5 (1.4%),15 (3.5%)
"Yemen, Rep.",2.8308709503293037,14.050555729856132,2.8 (0.58%),14 (2.2%)
Netherlands,4.500122119163275,13.431298600635767,4.5 (0.65%),13 (1.5%)
Albania,3.0743127236962913,13.401332012283861,3.1 (1.1%),13 (3.2%)
Costa Rica,1.148609647383362,13.33250782478112,1.1 (0.45%),13 (2.7%)
Zambia,0.775133876656726,12.946792607878624,0.78 (0.71%),13 (4.7%)
"Congo, Rep.",1.3450724951707125,12.075506133076608,1.3 (0.9%),12 (4.1%)
Hungary,4.95080952512145,11.678334258255958,5 (0.24%),12 (0.45%)
Croatia,3.021434288559973,11.666251050689459,3 (0.61%),12 (1.7%)
Slovak Republic,3.4777877914058566,11.23004357907629,3.5 (0.76%),11 (1.8%)
Mauritania,1.4067070600972846,11.12805761710745,1.4 (2.2%),11 (6.3%)
Panama,0.5498257501193583,10.563849627295554,0.55 (0.35%),11 (3.3%)
Latvia,1.795183003293991,10.342629536177993,1.8 (0.63%),10 (2.4%)
Bosnia and Herzegovina,1.732969426608622,10.331300716599822,1.7 (0.78%),10 (2.9%)
Sri Lanka,1.8114853705485463,10.217972506646156,1.8 (0.51%),10 (2%)
Israel,0.8679188732639551,9.33413869469577,0.87 (0.28%),9.3 (1.9%)
Sudan,0.9462925472014546,9.17786977808839,0.95 (0.46%),9.2 (2.2%)
Niger,1.8339916768443136,8.808131672208308,1.8 (2%),8.8 (5.2%)
Malawi,0.7873667635371834,7.9451424126545485,0.79 (0.63%),7.9 (3.8%)
Mali,1.136009729335852,7.535533501856774,1.1 (1.8%),7.5 (4.9%)
Paraguay,0.5926950783292055,7.436389289542466,0.59 (0.58%),7.4 (3.7%)
Mongolia,1.4984877476751357,7.413964170701891,1.5 (1.4%),7.4 (4.1%)
Ghana,0.7443889600511789,7.128321617656708,0.74 (0.42%),7.1 (2.4%)
Slovenia,2.685937716510117,7.000225063261688,2.7 (0.84%),7 (1.7%)
Kyrgyz Republic,1.716141416713327,6.782384279777259,1.7 (1.2%),6.8 (2.5%)
Uganda,0.7061933394504487,6.047260603832006,0.71 (0.67%),6 (2.8%)
Belgium,1.9292719625279902,5.787803095175623,1.9 (0.64%),5.8 (1.5%)
Bulgaria,1.2209322378428578,5.611460266947328,1.2 (0.46%),5.6 (1.5%)
Jordan,1.1859683956977725,5.5789515397686955,1.2 (0.73%),5.6 (2.5%)
Botswana,0.17620478816764057,4.2802836529627735,0.18 (0.2%),4.3 (2.8%)
Estonia,0.9912810680159777,4.241556587887823,0.99 (1.3%),4.2 (3.3%)
Chad,0.2817311981673613,4.173757917822316,0.28 (0.45%),4.2 (3.1%)
Benin,0.4921311368112117,4.0816331156443955,0.49 (1%),4.1 (4.3%)
Moldova,0.9664883597183823,3.486571524658322,0.97 (0.67%),3.5 (1.8%)
Armenia,0.8991079551142453,3.4004389338390526,0.9 (0.55%),3.4 (1.5%)
Azerbaijan,0.7958188030050992,3.3524867691658735,0.8 (0.19%),3.4 (0.5%)
"Macedonia, FYR",0.48381146211531756,3.3294710651379824,0.48 (0.59%),3.3 (2.5%)
Swaziland,0.23374949231022596,3.1059617104528994,0.23 (0.53%),3.1 (4%)
Lesotho,0.10976307851077616,2.996146655660033,0.11 (0.22%),3 (3.6%)
Guinea,0.4777700820851028,2.9433935525871515,0.48 (0.76%),2.9 (2.9%)
Lithuania,0.6059603337202668,2.709150868278682,0.61 (0.3%),2.7 (0.94%)
Uruguay,0.27547769626887886,2.2949376127154006,0.28 (0.71%),2.3 (3.4%)
Sierra Leone,0.297099532586582,1.8272266430752873,0.3 (0.61%),1.8 (2.4%)
Rwanda,0.12644612485494464,1.6666054507852643,0.13 (0.21%),1.7 (1.6%)
Burundi,0.2962294600212611,1.4722192439360469,0.3 (1%),1.5 (3%)
Togo,0.10892571105664223,1.4306285750341639,0.11 (0.37%),1.4 (2.9%)
Senegal,0.20116320199494808,1.4264600128041058,0.2 (0.38%),1.4 (2.1%)
Ireland,0.45806598537150023,1.4202417033134103,0.46 (0.3%),1.4 (0.7%)
Central African Republic,0.0535088275437802,1.1686740724489018,0.05 (0.36%),1.2 (4.1%)
Burkina Faso,0.16883716658000647,0.8957911327450573,0.17 (0.26%),0.9 (0.98%)
Sweden,0.2894349058544412,0.7879184711708948,0.29 (0.75%),0.79 (1.5%)
Georgia,0.1223564218943715,0.5752280086753964,0.12 (0.04%),0.58 (0.13%)
Montenegro,0.12134114338402822,0.5203635569245368,0.12 (0.59%),0.52 (1.7%)
Liberia,0.0625993835616,0.5135474804492034,0.06 (0.55%),0.51 (2.7%)
Djibouti,0.04625882270886004,0.36355991844338176,0.05 (0.73%),0.36 (3.4%)
Denmark,0.05814704142639599,0.14411898187974467,0.06 (0.47%),0.14 (0.94%)
