Develop contingent finance and reserve funds,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
United Kingdom,0.0,3.7888449551520345,0 (0%),3.8 (0.19%)
Paraguay,0.0,3.663216681660771,0 (0%),3.7 (1.8%)
Sri Lanka,0.0,3.635550145079553,0 (0%),3.6 (0.73%)
Slovak Republic,0.0,3.622843099583268,0 (0%),3.6 (0.58%)
Kyrgyz Republic,0.0,3.27282607587561,0 (0%),3.3 (1.2%)
Slovenia,0.0,3.2215108483871817,0 (0%),3.2 (0.77%)
Uganda,0.0,3.0137652283137437,0 (0%),3 (1.4%)
"Macedonia, FYR",0.0,2.7479308808329996,0 (0%),2.7 (2.1%)
Mongolia,0.0,2.6756733961091337,0 (0%),2.7 (1.5%)
Jordan,0.0,2.3980611504442093,0 (0%),2.4 (1.1%)
Sudan,0.0,2.2133772664648292,0 (0%),2.2 (0.54%)
Niger,0.0,2.0678470836744007,0 (0%),2.1 (1.2%)
Bulgaria,0.0,2.062488828771472,0 (0%),2.1 (0.54%)
Swaziland,0.0,2.031415994217679,0 (0%),2 (2.6%)
Czech Republic,0.0,1.7075135524317024,0 (0%),1.7 (0.25%)
Guinea,0.0,1.6517692448272405,0 (0%),1.7 (1.7%)
Lesotho,0.0,1.6193381725126503,0 (0%),1.6 (2%)
Moldova,0.0,1.554974720355481,0 (0%),1.6 (0.8%)
Netherlands,0.0,1.4744585003362893,0 (0%),1.5 (0.17%)
Botswana,0.0,1.3492457472749948,0 (0%),1.3 (0.89%)
Mali,0.0,1.1586852192192376,0 (0%),1.2 (0.75%)
Uruguay,0.0,1.0069415212193875,0 (0%),1 (1.5%)
Sierra Leone,0.0,0.9717469578640312,0 (0%),0.97 (1.3%)
Armenia,0.0,0.9127184790655076,0 (0%),0.91 (0.4%)
Burundi,0.0,0.706168775412403,0 (0%),0.71 (1.5%)
Senegal,0.0,0.6046011235968619,0 (0%),0.6 (0.88%)
Rwanda,0.0,0.5499884343343675,0 (0%),0.55 (0.54%)
Burkina Faso,0.0,0.46245976517273485,0 (0%),0.46 (0.51%)
Georgia,0.0,0.44572378943151236,0 (0%),0.45 (0.1%)
Togo,0.0,0.2799923770791292,0 (0%),0.28 (0.56%)
Djibouti,0.0,0.23266166128847748,0 (0%),0.23 (2.2%)
Sweden,0.0,0.06328119339885563,0 (0%),0.06 (0.12%)
Denmark,0.0,0.01666691694311984,0 (0%),0.02 (0.11%)
Ireland,0.0,0.0,0 (0%),0 (0%)
Israel,0.0,0.0,0 (0%),0 (0%)
Ukraine,0.0,0.0,0 (0%),0 (0%)
Estonia,0.0,0.0,0 (0%),0 (0%)
Uzbekistan,0.0,0.0,0 (0%),0 (0%)
Azerbaijan,0.0,0.0,0 (0%),0 (0%)
"Venezuela, RB",0.0,0.0,0 (0%),0 (0%)
Montenegro,0.0,0.0,0 (0%),0 (0%)
Angola,0.0,0.0,0 (0%),0 (0%)
Belgium,0.0,0.0,0 (0%),0 (0%)
Latvia,0.0,0.0,0 (0%),0 (0%)
Cambodia,0.0,0.0,0 (0%),0 (0%)
Liberia,0.0,0.0,0 (0%),0 (0%)
Lithuania,0.0,0.0,0 (0%),0 (0%)
Bosnia and Herzegovina,0.0,0.0,0 (0%),0 (0%)
"Congo, Rep.",0.0,0.0,0 (0%),0 (0%)
Russian Federation,0.0,0.0,0 (0%),0 (0%)
Chad,0.0,0.0,0 (0%),0 (0%)
Central African Republic,0.0,0.0,0 (0%),0 (0%)
Albania,0.0,0.0,0 (0%),0 (0%)
