"Increase
income of the
poor 10%",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Sweden,-0.3859132078059241,-0.2913991275358945,-0.39 (-1%),-0.29 (-0.55%)
Ireland,-0.6107546471620202,-0.3677446105521917,-0.61 (-0.4%),-0.37 (-0.18%)
Jordan,-1.5812911942636967,-0.40651877664923664,-1.6 (-0.98%),-0.41 (-0.18%)
Georgia,-0.16314189585906266,-0.42367955786430833,-0.16 (-0.06%),-0.42 (-0.1%)
Costa Rica,-1.5314795298446118,-0.4310317054907679,-1.5 (-0.6%),-0.43 (-0.09%)
Armenia,-1.198810606818974,-0.6304654294542074,-1.2 (-0.74%),-0.63 (-0.27%)
Mongolia,-1.9979836635668575,-0.7435201209576427,-2 (-1.9%),-0.74 (-0.41%)
Moldova,-1.2886511462911963,-0.8161277454794943,-1.3 (-0.89%),-0.82 (-0.42%)
Uganda,-0.941591119267255,-0.8804068474881649,-0.94 (-0.89%),-0.88 (-0.41%)
"Macedonia, FYR",-0.6450819494870603,-0.9058028275927752,-0.65 (-0.78%),-0.91 (-0.68%)
Azerbaijan,-1.061091737340331,-0.9908892883439063,-1.1 (-0.26%),-0.99 (-0.15%)
Albania,-4.099083631595135,-1.2242815882074833,-4.1 (-1.4%),-1.2 (-0.3%)
Lithuania,-0.8079471116272211,-1.2502576060608028,-0.81 (-0.4%),-1.3 (-0.44%)
Turkey,-61.06497635307979,-1.5430713773889542,-61 (-1.5%),-1.5 (-0.02%)
Estonia,-1.3217080906879455,-1.6031840924369096,-1.3 (-1.7%),-1.6 (-1.2%)
Bulgaria,-1.627909650457084,-1.6430721855943202,-1.6 (-0.62%),-1.6 (-0.43%)
Belgium,-2.572362616704106,-2.3541546251893637,-2.6 (-0.86%),-2.4 (-0.61%)
Croatia,-4.028579051413178,-3.1576379632223843,-4 (-0.82%),-3.2 (-0.47%)
Canada,-6.89402721612811,-3.3083401716175076,-6.9 (-0.48%),-3.3 (-0.16%)
Slovak Republic,-4.637050388541042,-3.38667321100533,-4.6 (-1%),-3.4 (-0.54%)
Latvia,-2.3935773377252816,-3.4833447343063355,-2.4 (-0.85%),-3.5 (-0.8%)
Netherlands,-6.000162825550794,-3.6221939278837443,-6 (-0.87%),-3.6 (-0.41%)
Tajikistan,-4.667728494313955,-3.64167631144762,-4.7 (-1.9%),-3.6 (-0.84%)
Nepal,-12.661705135177492,-3.84314926454854,-13 (-2%),-3.8 (-0.39%)
Slovenia,-3.5812502886801956,-3.8642796870830654,-3.6 (-1.1%),-3.9 (-0.93%)
Australia,-9.970058648029804,-3.9997363127207755,-10 (-0.5%),-4 (-0.14%)
Kyrgyz Republic,-2.2881885556177197,-4.707937281138986,-2.3 (-1.6%),-4.7 (-1.8%)
Uzbekistan,-6.152870491430819,-6.8821899026652575,-6.2 (-1.6%),-6.9 (-0.8%)
Pakistan,-69.31670668123913,-7.5740077473497385,-69 (-1.4%),-7.6 (-0.1%)
Czech Republic,-8.570278515988827,-7.7897061283332105,-8.6 (-1.7%),-7.8 (-1.1%)
Hungary,-6.60107936682868,-8.367942536497116,-6.6 (-0.32%),-8.4 (-0.32%)
Serbia,-15.842844679069518,-9.030782571101426,-16 (-1.2%),-9 (-0.5%)
Belarus,-9.352260336200713,-9.25914499925506,-9.4 (-1.6%),-9.3 (-1%)
Chile,-28.94002132761383,-11.940072954776763,-29 (-0.78%),-12 (-0.17%)
Austria,-14.016868918374062,-14.874608501357317,-14 (-1.6%),-15 (-1.2%)
Mexico,-18.040504190351484,-15.000288624588013,-18 (-0.63%),-15 (-0.3%)
Germany,-21.666430205884456,-18.064135277910232,-22 (-0.64%),-18 (-0.41%)
Poland,-13.803307217492103,-19.566178682793854,-14 (-1.8%),-20 (-1.6%)
Kazakhstan,-20.682396008100508,-21.212442070342302,-21 (-2%),-21 (-1.3%)
Romania,-21.542937783457038,-23.819428999654054,-22 (-1.4%),-24 (-1.1%)
India,-195.92902248280714,-25.86624139234924,-200 (-1.1%),-26 (-0.09%)
Ukraine,-30.929009251009465,-27.557314731167317,-31 (-1.3%),-28 (-0.87%)
France,-63.70801666919326,-65.55461479840851,-64 (-1.5%),-66 (-1.1%)
Japan,-173.87405979404068,-74.951988020195,-170 (-0.59%),-75 (-0.2%)
Greece,-105.88060010680103,-89.06404985731888,-110 (-2.1%),-89 (-1.1%)
Italy,-153.55450337112998,-127.46383232390593,-150 (-1.3%),-130 (-0.72%)
Russian Federation,-94.14838401819419,-151.5816425845089,-94 (-1.5%),-150 (-1.3%)
Thailand,-231.77458706430815,-196.01389123477745,-230 (-3.8%),-200 (-1.6%)
