Asset losses package ,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Honduras,104.09158848280083,436.48206603093286,100 (10%),440 (20%)
Serbia,255.01228934448812,432.1418269497681,260 (20%),430 (24%)
South Africa,193.7810066864414,423.50239190538355,190 (12%),420 (15%)
Dominican Republic,166.25767130771635,396.1322771365399,170 (11%),400 (17%)
Lao PDR,200.2213789989613,366.67576289342617,200 (18%),370 (24%)
El Salvador,128.55680160670136,347.756396550792,130 (10%),350 (18%)
Romania,201.24393348745966,346.9838328354084,200 (13%),350 (16%)
Australia,178.1890596766169,309.2309872097425,180 (8.9%),310 (11%)
Canada,180.892711669281,301.75189224847793,180 (13%),300 (15%)
Kazakhstan,142.19539810275734,295.26444653984925,140 (14%),300 (18%)
Morocco,92.41270336516308,273.26697443867386,92 (14%),270 (21%)
Nepal,131.92846938054942,257.5193390287045,130 (21%),260 (26%)
Angola,71.43626203606111,252.69736263268194,71 (30%),250 (33%)
"Congo, Dem. Rep.",96.01006469952273,248.3069595236838,96 (21%),250 (28%)
Hungary,178.45352447364877,237.2755809113903,180 (8.6%),240 (9.1%)
"Egypt, Arab Rep.",100.36973786670386,232.3976481079588,100 (13%),230 (18%)
Poland,90.58606402516472,199.53143075742852,91 (12%),200 (16%)
United Kingdom,121.96560747507976,199.07723036424326,120 (8.6%),200 (10%)
Uzbekistan,57.6366313714087,183.14952559083187,58 (15%),180 (21%)
Belarus,90.70803525574249,174.65494558969664,91 (15%),170 (19%)
Austria,99.39335087708425,172.70027219314454,99 (11%),170 (14%)
Spain,114.05949931516611,170.51102778054081,110 (13%),170 (15%)
Gabon,53.43649333645317,150.98381792156613,53 (26%),150 (31%)
Kenya,53.52043382942241,148.5043298146597,54 (20%),150 (26%)
Latvia,78.78785797183322,143.8717675396284,79 (28%),140 (33%)
Syrian Arab Republic,61.062497078041964,137.33408228071605,61 (13%),140 (19%)
"Yemen, Rep.",81.61420860757929,136.1682836211487,82 (17%),140 (22%)
Bolivia,38.98951801709902,128.6365491413406,39 (12%),130 (20%)
Jamaica,45.37250201662755,120.90575578429609,45 (13%),120 (20%)
Slovak Republic,64.08904873827386,108.55865287201303,64 (14%),110 (17%)
Tanzania,41.26369317696196,107.25925343553519,41 (13%),110 (19%)
"Congo, Rep.",42.27202376564945,105.55235041315233,42 (28%),110 (36%)
Netherlands,66.48213832867026,104.74333778032016,66 (9.7%),100 (12%)
Bosnia and Herzegovina,52.69896415090561,104.11961110675249,53 (24%),100 (29%)
Sudan,36.00174441045877,98.77589922550683,36 (17%),99 (24%)
Czech Republic,58.43094731189978,98.13634747712146,58 (11%),98 (14%)
Albania,50.46549512202417,97.10228861109655,50 (18%),97 (24%)
Croatia,55.647831629705365,96.2531195650971,56 (11%),96 (14%)
Sri Lanka,48.073580901842355,93.09321881218469,48 (14%),93 (19%)
Tajikistan,36.68547429061061,89.72896199302512,37 (15%),90 (21%)
Lithuania,54.46065507741854,82.19871476340445,54 (27%),82 (29%)
Costa Rica,23.190745448381662,76.20422546653961,23 (9.1%),76 (15%)
Azerbaijan,41.16252029310822,73.25947262398434,41 (10%),73 (11%)
Cameroon,23.86174196601498,73.03844840605127,24 (15%),73 (21%)
Belgium,47.45887380680072,70.94854597024423,47 (16%),71 (18%)
Israel,27.10617184504205,67.36576617139382,27 (8.7%),67 (13%)
Niger,22.662428897308303,63.41416734013283,23 (25%),63 (37%)
Mali,14.9808687814216,57.59939466203032,15 (24%),58 (37%)
Mauritania,13.740749602731674,55.40569115858605,14 (22%),55 (31%)
Panama,15.22080533486858,54.65869263706934,15 (9.6%),55 (17%)
Ireland,38.778797169884115,54.231448411168664,39 (26%),54 (27%)
Zambia,13.566569660430863,53.70651949495726,14 (12%),54 (19%)
Ghana,23.871665339427796,53.625601435923215,24 (13%),54 (18%)
Slovenia,32.794883560942054,52.012706302647885,33 (10%),52 (13%)
Bulgaria,27.837043265688717,51.89588754839873,28 (11%),52 (14%)
Mongolia,19.605019509586587,45.97798227885134,20 (19%),46 (26%)
Malawi,16.41571551649849,45.262374246615586,16 (13%),45 (22%)
Chad,17.221103596821845,44.96167894528384,17 (27%),45 (34%)
Kyrgyz Republic,18.4025613567062,43.92397292216301,18 (12%),44 (16%)
Estonia,22.32907464493305,43.418252622183964,22 (29%),43 (34%)
Paraguay,14.069947683237,43.097398803445515,14 (14%),43 (21%)
Moldova,25.960072367648184,42.30874411142003,26 (18%),42 (22%)
Georgia,27.535192181407094,41.59625209750485,28 (9.3%),42 (9.6%)
Uganda,14.590678599462091,40.08314683482042,15 (14%),40 (19%)
Armenia,20.406277142967344,35.11819010890609,20 (13%),35 (15%)
Jordan,16.31715925748366,32.84308922207093,16 (10%),33 (15%)
Botswana,9.641766681985914,27.19065694402377,9.6 (11%),27 (18%)
Benin,10.480496817216784,25.595139092940656,10 (22%),26 (27%)
Guinea,11.321909222826301,23.14726948519842,11 (18%),23 (23%)
"Macedonia, FYR",8.773018807574003,21.47666767278184,8.8 (11%),21 (16%)
Lesotho,7.38852497799354,20.260083639193137,7.4 (15%),20 (24%)
Rwanda,6.702254560933039,18.28901855556914,6.7 (11%),18 (18%)
Burkina Faso,10.75141512587326,18.07224406493862,11 (17%),18 (20%)
Swaziland,5.943029479019932,17.42036587693569,5.9 (14%),17 (22%)
Uruguay,7.017862697343878,16.43236794016184,7 (18%),16 (25%)
Senegal,8.793518152530842,15.72236818349754,8.8 (17%),16 (23%)
Togo,7.102527576330334,15.34646104715742,7.1 (24%),15 (31%)
Sierra Leone,6.721597206453457,14.275000244967504,6.7 (14%),14 (19%)
Central African Republic,3.8633483813330978,9.880111403086998,3.9 (26%),9.9 (35%)
Burundi,3.991463353996411,9.385254760214895,4 (14%),9.4 (19%)
Sweden,5.474300153484583,8.442707581814773,5.5 (14%),8.4 (16%)
Liberia,3.0737736420146318,6.226218043993793,3.1 (27%),6.2 (33%)
Montenegro,3.1986608070125766,5.774464508164148,3.2 (16%),5.8 (19%)
Denmark,1.6706298277424796,2.248588669220436,1.7 (13%),2.2 (15%)
Djibouti,0.6619216843860103,1.913595045205431,0.66 (10%),1.9 (18%)
