"Develop market
insurance
(nonpoor people)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Honduras,0.0,53.31408802571392,0 (0%),53 (2.5%)
"Egypt, Arab Rep.",0.0,41.46102820109868,0 (0%),41 (3.2%)
Kazakhstan,0.0,37.96224599163365,0 (0%),38 (2.3%)
Spain,0.0,36.00013816287041,0 (0%),36 (3.2%)
Austria,0.0,35.79223379944682,0 (0%),36 (3%)
"Congo, Dem. Rep.",0.0,35.15964102555084,0 (0%),35 (3.9%)
Cambodia,0.0,34.24778445307755,0 (0%),34 (2.1%)
Netherlands,0.0,31.336673470923063,0 (0%),31 (3.6%)
Syrian Arab Republic,0.0,30.24860465701449,0 (0%),30 (4.3%)
Croatia,0.0,29.432211036694287,0 (0%),29 (4.4%)
"Yemen, Rep.",0.0,29.054004393282295,0 (0%),29 (4.6%)
Nepal,0.0,28.496220690388082,0 (0%),28 (2.9%)
Morocco,0.0,28.006140176342964,0 (0%),28 (2.1%)
Poland,0.0,26.333136924695015,0 (0%),26 (2.1%)
Belarus,0.0,24.72828451292634,0 (0%),25 (2.7%)
Guatemala,0.0,24.375581372668265,0 (0%),24 (0.83%)
Sri Lanka,0.0,24.31345584452021,0 (0%),24 (4.9%)
Czech Republic,0.0,22.741980529930473,0 (0%),23 (3.3%)
Slovak Republic,0.0,22.34577033878219,0 (0%),22 (3.6%)
Israel,0.0,19.495765810258984,0 (0%),19 (3.9%)
Azerbaijan,0.0,18.687978132954118,0 (0%),19 (2.8%)
Tanzania,0.0,17.881992313293694,0 (0%),18 (3.2%)
Albania,0.0,17.46798361542648,0 (0%),17 (4.2%)
Slovenia,0.0,16.450828949783922,0 (0%),16 (4%)
Jamaica,0.0,16.339213759393452,0 (0%),16 (2.7%)
Bolivia,0.0,15.331798658686042,0 (0%),15 (2.4%)
Kenya,0.0,15.11775344999516,0 (0%),15 (2.7%)
Belgium,0.0,14.531686445690632,0 (0%),15 (3.7%)
Uzbekistan,0.0,13.732249825904846,0 (0%),14 (1.6%)
Jordan,0.0,13.274184364275067,0 (0%),13 (6%)
Bosnia and Herzegovina,0.0,13.145585777551114,0 (0%),13 (3.7%)
Bulgaria,0.0,12.829882081714867,0 (0%),13 (3.3%)
Georgia,0.0,12.690469799082457,0 (0%),13 (2.9%)
Angola,0.0,12.305356884318947,0 (0%),12 (1.6%)
Latvia,0.0,11.922886803469776,0 (0%),12 (2.7%)
Costa Rica,0.0,11.705265475636958,0 (0%),12 (2.3%)
Ghana,0.0,11.254839530924022,0 (0%),11 (3.8%)
Sudan,0.0,10.987412774431824,0 (0%),11 (2.7%)
Lithuania,0.0,9.79304592670387,0 (0%),9.8 (3.4%)
Panama,0.0,9.255588210369467,0 (0%),9.3 (2.9%)
Gabon,0.0,9.109010152572035,0 (0%),9.1 (1.9%)
Tajikistan,0.0,9.064667416765511,0 (0%),9.1 (2.1%)
Moldova,0.0,7.724606086742728,0 (0%),7.7 (4%)
Malawi,0.0,7.69963643167448,0 (0%),7.7 (3.7%)
Armenia,0.0,7.682190887459993,0 (0%),7.7 (3.3%)
Cameroon,0.0,7.153988808790325,0 (0%),7.2 (2%)
"Congo, Rep.",0.0,6.93499300805527,0 (0%),6.9 (2.3%)
Ireland,0.0,6.885189024580538,0 (0%),6.9 (3.4%)
Botswana,0.0,6.789430897727668,0 (0%),6.8 (4.5%)
Zambia,0.0,5.48931863332045,0 (0%),5.5 (2%)
Kyrgyz Republic,0.0,5.423909198113352,0 (0%),5.4 (2%)
Uganda,0.0,5.026252925689429,0 (0%),5 (2.3%)
Paraguay,0.0,4.851859496830254,0 (0%),4.9 (2.4%)
Lesotho,0.0,4.62433746147342,0 (0%),4.6 (5.6%)
Guinea,0.0,4.382542962635323,0 (0%),4.4 (4.4%)
Senegal,0.0,4.093511747593372,0 (0%),4.1 (6%)
Mongolia,0.0,3.926275683147609,0 (0%),3.9 (2.2%)
Burkina Faso,0.0,3.7636475173892974,0 (0%),3.8 (4.1%)
Chad,0.0,3.705854541300356,0 (0%),3.7 (2.8%)
Rwanda,0.0,3.64494249867323,0 (0%),3.6 (3.6%)
"Macedonia, FYR",0.0,3.5930485306006372,0 (0%),3.6 (2.7%)
Sierra Leone,0.0,3.1931024522823095,0 (0%),3.2 (4.3%)
Benin,0.0,3.1629389147104323,0 (0%),3.2 (3.4%)
Niger,0.0,3.162477517069042,0 (0%),3.2 (1.9%)
Estonia,0.0,2.8841011991173473,0 (0%),2.9 (2.2%)
Swaziland,0.0,2.5043290022378266,0 (0%),2.5 (3.2%)
Togo,0.0,2.2733362951461897,0 (0%),2.3 (4.6%)
Mali,0.0,2.049800359681904,0 (0%),2 (1.3%)
Uruguay,0.0,2.007602496653281,0 (0%),2 (3%)
Mauritania,0.0,1.9823904919183253,0 (0%),2 (1.1%)
Sweden,0.0,1.6769756708935797,0 (0%),1.7 (3.2%)
Burundi,0.0,1.4964549769213646,0 (0%),1.5 (3.1%)
Montenegro,0.0,1.1414101158114038,0 (0%),1.1 (3.7%)
Central African Republic,0.0,1.1148649835698567,0 (0%),1.1 (3.9%)
Liberia,0.0,0.7377191061695665,0 (0%),0.74 (3.9%)
Denmark,0.0,0.5873204195556995,0 (0%),0.59 (3.8%)
Djibouti,0.0,0.33462215495721437,0 (0%),0.33 (3.1%)
