"Postdisaster
support
package",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Morocco,-1.1920928955078124e-13,38.2258652611165,0 (0%),38 (2.9%)
Lao PDR,0.0,38.09471761856794,0 (0%),38 (2.5%)
Kazakhstan,0.0,37.663942627307414,0 (0%),38 (2.3%)
Cambodia,0.0,36.028475285768984,0 (0%),36 (2.2%)
Kenya,0.0,34.44089804208302,0 (0%),34 (6.1%)
Bolivia,0.0,30.090224826629758,0 (0%),30 (4.7%)
Uzbekistan,1.1920928955078124e-13,29.40364848849046,0 (0%),29 (3.4%)
Nigeria,0.0,29.320116050917623,0 (0%),29 (1.3%)
Poland,0.0,26.61492078013134,0 (0%),27 (2.1%)
Syrian Arab Republic,0.0,25.385284229555246,0 (0%),25 (3.6%)
South Africa,0.0,24.773949999186993,0 (0%),25 (0.87%)
Germany,4.76837158203125e-13,23.80115623020458,0 (0%),24 (0.54%)
Jamaica,0.0,21.275539595285057,0 (0%),21 (3.5%)
Zambia,0.0,20.86687857171553,0 (0%),21 (7.6%)
Albania,0.0,20.154115434439717,0 (0%),20 (4.9%)
Australia,2.384185791015625e-13,19.926422063099384,0 (0%),20 (0.72%)
Belarus,0.0,19.088490169937373,0 (0%),19 (2.1%)
"Congo, Rep.",2.980232238769531e-14,18.15866316619861,0 (0%),18 (6.1%)
Spain,-1.1920928955078124e-13,18.08439081065559,0 (0%),18 (1.6%)
"Yemen, Rep.",-5.960464477539062e-14,17.583458249563932,0 (0%),18 (2.8%)
Cameroon,0.0,17.203926010378837,0 (0%),17 (4.9%)
Austria,0.0,16.646813311429263,0 (0%),17 (1.4%)
Hungary,2.384185791015625e-13,16.154218354390622,0 (0%),16 (0.62%)
Israel,0.0,15.898821746896326,0 (0%),16 (3.2%)
Panama,0.0,15.842406025738418,0 (0%),16 (4.9%)
Latvia,5.960464477539062e-14,14.689129704018175,0 (0%),15 (3.4%)
Tanzania,-5.960464477539062e-14,14.672279642470835,0 (0%),15 (2.7%)
Croatia,0.0,14.276038501232504,0 (0%),14 (2.1%)
Tajikistan,0.0,14.272322937680482,0 (0%),14 (3.3%)
Bosnia and Herzegovina,0.0,14.028264347632229,0 (0%),14 (4%)
Mauritania,-7.450580596923828e-15,13.459358406460165,0 (0%),13 (7.6%)
United Kingdom,0.0,12.969646739250898,0 (0%),13 (0.66%)
Canada,0.0,12.296659419066668,0 (0%),12 (0.6%)
Czech Republic,0.0,12.25010894489026,0 (0%),12 (1.8%)
Belgium,0.0,10.860800577760696,0 (0%),11 (2.8%)
Benin,0.0,9.556065357109695,0 (0%),9.6 (10%)
Malawi,0.0,8.940739456288426,0 (0%),8.9 (4.3%)
Mongolia,0.0,8.867835090596198,0 (0%),8.9 (4.9%)
Jordan,0.0,8.598357460179626,0 (0%),8.6 (3.9%)
Sri Lanka,5.960464477539062e-14,7.907836071672081,0 (0%),7.9 (1.6%)
Kyrgyz Republic,0.0,7.661310430475562,0 (0%),7.7 (2.9%)
Uganda,0.0,7.5172504318293925,0 (0%),7.5 (3.5%)
Ghana,-2.980232238769531e-14,7.341865476506948,0 (0%),7.3 (2.5%)
Slovak Republic,5.960464477539062e-14,7.298969000275254,0 (0%),7.3 (1.2%)
Estonia,0.0,7.270054542750776,0 (0%),7.3 (5.6%)
Costa Rica,0.0,7.03591181323719,0 (0%),7 (1.4%)
Paraguay,0.0,6.774930297841816,0 (0%),6.8 (3.4%)
Netherlands,1.1920928955078124e-13,6.44937996631813,0 (0%),6.4 (0.73%)
Bulgaria,0.0,5.882604234914243,0 (0%),5.9 (1.5%)
Lithuania,0.0,5.466863746102988,0 (0%),5.5 (1.9%)
Slovenia,0.0,5.096369391970158,0 (0%),5.1 (1.2%)
Lesotho,-7.450580596923828e-15,4.980851224693462,0 (0%),5 (6%)
Azerbaijan,0.0,4.93811709448874,0 (0%),4.9 (0.73%)
"Macedonia, FYR",0.0,4.929599941890135,0 (0%),4.9 (3.7%)
Botswana,1.4901161193847656e-14,4.844201747793913,0 (0%),4.8 (3.2%)
Chad,0.0,4.770684633419767,0 (0%),4.8 (3.6%)
Swaziland,0.0,4.729800505978018,0 (0%),4.7 (6.1%)
Guinea,0.0,3.781909484705567,0 (0%),3.8 (3.8%)
Sudan,2.980232238769531e-14,3.7621711870144603,0 (0%),3.8 (0.91%)
Armenia,0.0,3.4754381061147153,0 (0%),3.5 (1.5%)
Niger,0.0,3.421594263519138,0 (0%),3.4 (2%)
Moldova,2.980232238769531e-14,3.2839168773195744,0 (0%),3.3 (1.7%)
Ireland,0.0,3.1389233124604226,0 (0%),3.1 (1.5%)
Uruguay,0.0,2.609796242589332,0 (0%),2.6 (3.9%)
Central African Republic,0.0,2.1804910274081526,0 (0%),2.2 (7.7%)
Togo,0.0,2.0716327054777888,0 (0%),2.1 (4.2%)
Mali,0.0,1.8289282265018523,0 (0%),1.8 (1.2%)
Sierra Leone,7.450580596923828e-15,1.6070494706593303,0 (0%),1.6 (2.2%)
Senegal,0.0,1.2868118296020776,0 (0%),1.3 (1.9%)
Burundi,0.0,1.2793391220246255,0 (0%),1.3 (2.6%)
Georgia,5.960464477539062e-14,1.0340922958526015,0 (0%),1 (0.24%)
Montenegro,0.0,0.8719155082255863,0 (0%),0.87 (2.8%)
Rwanda,0.0,0.810390269153431,0 (0%),0.81 (0.8%)
Burkina Faso,-7.450580596923828e-15,0.6402558632100671,0 (0%),0.64 (0.7%)
Liberia,0.0,0.6321752242537177,0 (0%),0.63 (3.3%)
Djibouti,-9.313225746154785e-16,0.4686052973591946,0 (0%),0.47 (4.4%)
Sweden,0.0,0.3756446781023666,0 (0%),0.38 (0.72%)
Denmark,0.0,0.0973988287579827,0 (0%),0.1 (0.63%)
