country,Assets,Resilience,Well-being
Togo,Risk to assets: $30 million (0.32% of GDP),Socio-economic Resilience: 59%,Risk to well-being: $50 million (0.54% of GDP)
Turkey,"Risk to assets: $4,100 million (0.29% of GDP)",Socio-economic Resilience: 48%,"Risk to well-being: $8,500 million (0.61% of GDP)"
Uganda,Risk to assets: $110 million (0.17% of GDP),Socio-economic Resilience: 49%,Risk to well-being: $220 million (0.36% of GDP)
Ukraine,"Risk to assets: $2,300 million (0.6% of GDP)",Socio-economic Resilience: 73%,"Risk to well-being: $3,200 million (0.82% of GDP)"
United Kingdom,"Risk to assets: $1,400 million (0.06% of GDP)",Socio-economic Resilience: 73%,"Risk to well-being: $2,000 million (0.08% of GDP)"
United States,"Risk to assets: $40,000 million (0.24% of GDP)",Socio-economic Resilience: 66%,"Risk to well-being: $60,000 million (0.37% of GDP)"
Uruguay,Risk to assets: $39 million (0.06% of GDP),Socio-economic Resilience: 58%,Risk to well-being: $67 million (0.1% of GDP)
Uzbekistan,Risk to assets: $380 million (0.25% of GDP),Socio-economic Resilience: 44%,Risk to well-being: $860 million (0.57% of GDP)
"Venezuela, RB","Risk to assets: $3,300 million (0.62% of GDP)",Socio-economic Resilience: 61%,"Risk to well-being: $5,400 million (1.0% of GDP)"
Vietnam,"Risk to assets: $6,900 million (1.5% of GDP)",Socio-economic Resilience: 73%,"Risk to well-being: $9,500 million (2.1% of GDP)"
"Yemen, Rep.",Risk to assets: $480 million (0.52% of GDP),Socio-economic Resilience: 77%,Risk to well-being: $630 million (0.68% of GDP)
Zambia,Risk to assets: $110 million (0.2% of GDP),Socio-economic Resilience: 40%,Risk to well-being: $280 million (0.5% of GDP)
