country,vp,vr,v
Croatia,0.6999999999999998,0.44118744909999996,0.4589678713468299
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.46490076190476187,0.10000000000000002,0.1291555708761905
Czech Republic,0.6999999999999998,0.4135,0.4408607499999999
Denmark,0.2999999999999999,0.25,0.25424
Djibouti,0.6224866506129807,0.2919383715793353,0.30820134690779066
Dominica,0.9423105123089721,0.63055106420675,0.6423979232346344
Dominican Republic,0.3489973692170466,0.2999999999999999,0.3024155703024003
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.6999999999999997,0.6764212741773349,0.677562484507152
"Egypt, Arab Rep.",0.6999999999999998,0.5499999999999999,
El Salvador,0.6999999999999998,0.43999999999999995,0.45487199999999994
Equatorial Guinea,0.6999999999999998,0.3269905140632944,
Eritrea,0.6999999999999997,0.6,
Estonia,0.43421459615058977,0.12597759214313936,0.14807818533047357
Ethiopia,0.6224866506129807,0.2919383715793353,0.31848139838573697
Euro area,,,
Europe & Central Asia,,,
Europe & Central Asia (IDA & IBRD countries),,,
Europe & Central Asia (excluding high income),,,
European Union,,,
Faroe Islands,,,
Fiji,0.5179999999999999,0.22549999999999995,0.24334249999999996
Finland,0.3999999999999998,0.2825,0.29358024999999993
Fragile and conflict affected situations,,,
France,0.5700000000000001,0.2394999999999999,0.26527899999999993
French Polynesia,0.6999999999999998,0.4444999999999999,
Gabon,0.6999999999999998,0.3269905140632944,0.3486996661448106
"Gambia, The",0.6999999999999997,0.6734349004145419,0.6747020556647683
Georgia,0.538522,0.20116745,0.220025569345
Germany,0.2999999999999999,0.24068881249999996,0.24565315889374995
Ghana,0.6999999999999997,0.6973988599523725,0.6975351596908681
Gibraltar,,,
Greece,0.44478322000000003,0.1414014125,0.15823910281624998
Greenland,0.3000000000000001,0.26306389999999996,
Grenada,0.3159999999999999,0.26899999999999996,
Guam,0.39486964955708176,0.22297463449207036,
Guatemala,0.5828090559822138,0.10000000000000002,0.12143672208561032
Guinea,0.6999999999999997,0.6849999999999998,0.6861339999999998
Guinea-Bissau,0.6999999999999997,0.6755000000000001,0.67660005
Guyana,0.3439999999999999,0.2845,0.2871775
Haiti,0.99,0.2477187041068309,0.2646257685205493
Heavily indebted poor countries (HIPC),,,
High income,,,
Honduras,0.6999999999999998,0.391375828971834,0.4021776749578198
"Hong Kong SAR, China",0.32,0.10000000000000002,
Hungary,0.6999999999999998,0.4351049999999999,0.4557668099999999
IBRD only,,,
IDA & IBRD total,,,
IDA blend,,,
IDA only,,,
IDA total,,,
Iceland,0.3000000000000001,0.25887037499999993,0.26264607457499994
India,0.6999999999999998,0.52221674,0.536937193928
Indonesia,0.3,0.19689564999999998,0.20435009450499997
"Iran, Islamic Rep.",0.6999999999999998,0.2718316681733372,0.3009899315707329
Iraq,0.6999999999999997,0.6,
Ireland,0.2999999999999999,0.2662639375,0.26887173513125
Isle of Man,0.3000000000000001,0.26883326249999995,
Israel,0.6999999999999998,0.5499999999999999,0.5569149999999999
Italy,0.5700000000000001,0.2394999999999999,0.2600901499999999
Jamaica,0.6999999999999998,0.391375828971834,0.40767118520212114
Japan,0.3,0.20477700000000001,0.2117949351
Jordan,0.6999999999999998,0.5499999999999999,
Kazakhstan,0.43421459615058977,0.12597759214313936,0.15667799774228142
Kenya,0.6999999999999997,0.6,0.60468
Kiribati,0.6999999999999998,0.4444999999999999,0.4602387999999999
"Korea, Dem. People’s Rep.",,,
"Korea, Rep.",0.3,0.20902799999999994,
Kosovo,,,
Kuwait,0.6999999999999998,0.4921416590025418,
Kyrgyz Republic,0.6687523001891008,0.1573663400378202,0.20860721324497855
Lao PDR,0.3999999999999998,0.3,0.30724999999999997
Late-demographic dividend,,,
Latin America & Caribbean,,,
Latin America & Caribbean (excluding high income),,,
Latin America & the Caribbean (IDA & IBRD countries),,,
Latvia,0.4342145961505898,0.12597759214313936,0.14551981819721171
Least developed countries: UN classification,,,
Lebanon,0.6999999999999998,0.49999999999999994,
Lesotho,0.6999999999999997,0.6416008539893611,0.6432593897360632
Liberia,0.6999999999999997,0.6734349004145419,0.6751616318875967
Libya,0.6999999999999997,0.6,
Liechtenstein,0.10500000000000004,0.09999999999999998,
Lithuania,0.4734880000000001,0.26252319999999996,0.27625700848
Low & middle income,,,
Low income,,,
Lower middle income,,,
Luxembourg,0.3000000000000001,0.25977239999999996,0.26261246856
"Macao SAR, China",0.3000000000000001,0.25749999999999995,
"Macedonia, FYR",0.44703279999999995,0.1678388,0.1828873566
Madagascar,0.6999999999999998,0.4424472127146907,0.45720498742613885
Malawi,0.6999999999999998,0.4424472127146907,0.45648383962174
Malaysia,0.39486964955708176,0.22297463449207036,0.2308130471790349
Maldives,0.6999999999999998,0.44449999999999973,0.46074979999999977
Mali,0.6468485499999999,0.10000000000000002,0.143583829435
Malta,0.5700000000000001,0.2394999999999999,
Marshall Islands,0.2999999999999999,0.26392675,0.264312733775
Mauritania,0.5845950999999999,0.10000000000000002,0.13658693005
Mauritius,0.2999999999999999,0.3,0.3
Mexico,0.6999999999999998,0.32153845,0.34072645058499995
"Micronesia, Fed. Sts.",0.6999999999999998,0.4444999999999999,0.45730054999999986
Middle East & North Africa,,,
Middle East & North Africa (IDA & IBRD countries),,,
Middle East & North Africa (excluding high income),,,
Middle income,,,
Moldova,0.6999999999999998,0.4153083161363591,0.442980347807905
Monaco,0.5700000000000001,0.2394999999999999,
Mongolia,0.4342145961505898,0.12597759214313933,0.15088314206694134
Montenegro,0.6999999999999998,0.44097396082499996,0.462887563739205
Morocco,0.6999999999999998,0.2091521875,0.24125363443749998
Mozambique,0.48000000000000015,0.2999999999999999,0.3093959999999999
Myanmar,0.3639999999999999,0.3,
Namibia,0.6999999999999997,0.6416008539893611,0.6435105060639089
Nauru,0.37600000000000006,0.26599999999999996,
Nepal,0.6999999999999998,0.3982813749999999,0.42338436459999995
Netherlands,0.2999999999999999,0.25962989999999997,0.26321072786999994
New Caledonia,0.37600000000000006,0.26599999999999996,
New Zealand,0.2999999999999999,0.24470214250000002,
Nicaragua,0.6999999999999998,0.32104216733095076,0.3394216222153996
Niger,0.6999999999999998,0.103779625,0.1505829244375
Nigeria,0.6999999999999997,0.6734349004145419,0.6748614462622811
North America,,,
Northern Mariana Islands,0.6999999999999998,0.4444999999999999,
Norway,0.43421459615058977,0.12597759214313936,0.15464363351583227
OECD members,,,
Oman,0.2999999999999999,0.3,
Other small states,,,
Pacific island small states,,,
Pakistan,0.6999999999999998,0.5201834,0.5367265271999999
Palau,0.6999999999999998,0.4444999999999999,
Panama,0.6999999999999997,0.6764212741773349,0.6772158772375587
Papua New Guinea,0.6999999999999998,0.5385999999999999,0.5462503599999998
Paraguay,0.6999999999999998,0.37219014999999994,0.38481082922499993
Peru,0.5791459999999999,0.1434415,0.16335319565
Philippines,0.3,0.22297463449207036,0.2275345361301398
Poland,0.43421459615058977,0.12597759214313936,0.15060572876333464
Portugal,0.10500000000000004,0.09999999999999998,0.10032249999999998
Post-demographic dividend,,,
Pre-demographic dividend,,,
Puerto Rico,0.3489973692170465,0.2999999999999999,
Qatar,0.2999999999999999,0.3,
Romania,0.6999999999999998,0.325110175,0.35840039146
Russian Federation,0.6014665578935485,0.1438537055539877,0.17085286384202178
Rwanda,0.6999999999999997,0.6825,0.6834082499999999
Samoa,0.6999999999999998,0.4444999999999999,0.4606475999999999
San Marino,0.5700000000000001,0.2394999999999999,
Sao Tome and Principe,,,
Saudi Arabia,0.2999999999999999,0.3,
Senegal,0.6999999999999997,0.6849999999999998,0.6859089999999999
Serbia,0.6999999999999998,0.4413437507,0.46351059126501
Seychelles,0.2999999999999999,0.3,0.3
Sierra Leone,0.6999999999999997,0.6734349004145419,0.6755361997917517
Singapore,0.3,0.1525,
Sint Maarten (Dutch part),0.6999999999999998,0.4554999999999999,
Slovak Republic,0.6999999999999998,0.4414388456999999,0.4637268172006599
Slovenia,0.6999999999999998,0.3430357439755195,0.376697473318628
Small states,,,
Solomon Islands,0.6999999999999998,0.3740816249999999,0.39027976823749994
Somalia,0.6224866506129807,0.2919383715793353,
South Africa,0.6999999999999997,0.6416008539893611,0.6430433128958238
South Asia,,,
South Asia (IDA & IBRD),,,
South Sudan,0.6999999999999997,0.6,0.6038600000000001
Spain,0.10499999999999998,0.10000000000000002,0.10028800000000002
Sri Lanka,0.6999999999999997,0.6738905766438061,0.6757547894714384
St. Kitts and Nevis,0.3099999999999999,0.24800000000000003,
St. Lucia,0.49747195548439493,0.43448037670552686,0.4377748362756617
St. Martin (French part),,,
St. Vincent and the Grenadines,0.5730586585299089,0.23107203972980198,0.30049532334622364
Sub-Saharan Africa,,,
Sub-Saharan Africa (IDA & IBRD countries),,,
Sub-Saharan Africa (excluding high income),,,
Sudan,0.6999999999999997,0.6,0.6068199999999999
Suriname,0.6999999999999997,0.6506628849962744,
Swaziland,0.5379999999999999,0.2999999999999999,0.30951999999999985
Sweden,0.2999999999999999,0.26083354999999997,0.26424103114999997
Switzerland,0.5700000000000001,0.2394999999999999,0.26623744999999993
Syrian Arab Republic,0.6999999999999998,0.49999999999999994,
Tajikistan,0.43421459615058977,0.12597759214313936,0.15307162479539424
Tanzania,0.6999999999999998,0.4424472127146907,0.46142885313761794
Thailand,0.644066,0.12207294999999997,0.15824706836499997
Timor-Leste,0.3,0.217434025,0.2248567061525
Togo,0.6999999999999997,0.6973988599523725,0.6975244950166729
Tonga,0.5071577884854748,0.5071577884854748,0.5071577884854748
Trinidad and Tobago,0.6479050570475513,0.3907768169188145,0.4033761006851226
Tunisia,0.56380195,0.10000000000000002,0.131213871235
Turkey,0.6999999999999998,0.22005241249999996,0.24808135160999997
Turkmenistan,0.6999999999999998,0.4670699471145441,
Turks and Caicos Islands,0.5579999999999999,0.22499999999999998,
Tuvalu,0.5659999999999998,0.22549999999999995,0.24688339999999995
Uganda,0.6999999999999998,0.3820205969835945,0.40224408701543785
Ukraine,0.6999999999999998,0.4153083161363591,0.44505859710010953
United Arab Emirates,0.2999999999999999,0.3,
United Kingdom,0.3000000000000001,0.2615766874999999,0.26446227826874996
United States,0.3927198494711082,0.27848915166168753,0.28431491724996794
Upper middle income,,,
Uruguay,0.6999999999999998,0.40017474999999997,0.4157356804749999
Uzbekistan,0.43421459615058977,0.12597759214313936,0.14884877784049216
Vanuatu,0.327758345160837,0.29061239937594224,0.29310117774353023
"Venezuela, RB",0.6999999999999997,0.6764212741773349,0.6771710776584956
Vietnam,0.3,0.2166199,0.22211464859000002
Virgin Islands (U.S.),0.3489973692170465,0.2999999999999999,
West Bank and Gaza,0.6999999999999998,0.5499999999999999,0.561565
World,,,
"Yemen, Rep.",0.2999999999999999,0.3,
Zambia,0.6999999999999998,0.4424472127146907,0.4522599739102609
Zimbabwe,0.6999999999999997,0.6416008539893611,0.6450055242017814
